question,answer
spoon,(숟가락)  Use this spoon to help the gravy.
sports,(운동경기)  Soccer is one of the most popular sports.
spring,"(봄,용수철)  I think spring is in the air."
square,(정사각형)  The cave room is a great square.
stair,(계단)  The man is waiting on the stair.
stamp,"(우편, 우표)  The stamp is a special edition."
stand,(서다)  Don't stand there looking like a fool.
star,(별)  A man is wishing on a star.
start,(시작하다) The movie will start in half an hour.
station,(정거장)  I’ll walk you to the station.
stay,(머물다)  Can you stay a little longer?
steam,(증기)  These engines are driven by steam.
step,(한걸음)  I am one step closer to paradise.
stick,(막대기)  He did dot at me one with a stick.
stone,(돌)  This stone is not worth a dump.
stop,(멈추다)   I can't stop sneezing.
store,(가게)  The people are in the toy store.
storm,(폭풍우)  They are scared by the storm.
story,(이야기) I want to tell you a story.
stove,"(스토브,난로)  When can you deliver the stove?"
straight,"(곧은,똑바로)   I came straight from the office."
strange,"(이상한,낯선)  A strange noise broke his sleep."
strawberry,(딸기)  The strawberries are on the table.
street,(거리)  I hope to visit that street sometime.
strike,(치다)  Strike while the iron is hot.
strong,(강한)  I like a woman to be strong.
student,(학생)  Each student has his own desk.
study,(공부하다)  I am too tired to study.
stupid,(어리석은)  I'm not so stupid as you think.
subway,(지하철)  Can I find a subway nearby here?
sugar,(설탕)  Do you use sugar in your coffee?
summer,(여름)  The summer sales are on now.
sun,(태양)  The sun is smaller than the moon.
supermarket ,(슈퍼) I went to the supermarket yesterday.
supper,(저녁식사)  I drink at supper every day at home.
sure,(확실한)   A sure cure for the blues.
surprise,(놀라운)  A look of surprise came over his face.
sweater,(스웨터)  The boy is putting on a sweater.
sweet,(달콤한)  These grapes taste sweet and sour.
swim,"(수영하다)   I can swim, but not very well."
swing,(흔들리다)  She has a slight swing in her walk.
switch,(스위치)   Would you please kick the switch on.
table,"(식탁,탁자)  The towels are on the table."
take,"(잡다,가져가다)  I thought I'd take a chance."
talk,(말하다)  I don't want to talk to him.
tall,(키가큰)  ]Lisa is as tall as I am.
tape,(테이프)  What's the price of this video tape?
taste,(맛보다)  This food has very little taste.
taxi,(택시)  The taxi is diriving down the street.
tea,(차)  Why don’t you join me for a cup of tea?
teach,(가르치다)  Schools teach reading in the first grade.
team,(팀)  Our team has plenty of fans.
telephone,(전화기)  The telephone is on the table.
television,(텔레비전)  We watched the game on television.
tell,(이야기하다)  You can tell the truth before me.
temple,(절)  This temple looks hoary in everything.
tennis,(테니스) like playing tennis and skiing.
test,(시험)  I failed my driver's test today.
than,(~보다)  The sun is smaller than the moon.
thank,"(감사하다)  Thank God, the war is over."
that,(저것)   What is that?
the,(그)  The girl is in the kitchen.
then,(그때)  I think we can let you know by then.
there,(거기에)  We spent about ten days there.
they,(그들)  They use a lot of water.
thick,(두꺼운)  I don't like it too thick.
thin,(얇은)   Or use very thin sliced bread.
thing,(~것)  I will not do such a thing.
think,"(생각하다)  Actually, I think she's pretty cool."
thirsty,(목마른)  I am hungry and thirsty too.
this,(이것)   This is a pencil.
thousand,(천(1000))  I want five thousand won discounted.
through,(~를 통해)  The road runs through the forest.
throw,(던지다)  We also throw away iron and steel.
ticket,(표)  Is there that kind of ticket?
tie,(매다)  He is not wearing a tie.
tiger,(호랑이)  A tiger has a long tail.
till,(~까지)  Let's wait till the rain stops.
time,(시간)  Sorry to eat up your time.
tired,(피곤한)  The man is a bit tired.
to,"(~으로,~까지)  I want to speak to you on business."
today,(오늘)  We had a pop quiz today.
together,(함께)  Put it all together and eat.
tomato,(토마토)  I have a tomato and an orange.
tomorrow,(내일)  We have a quiz tomorrow morning.
tonight,(오늘밤)  Will you house-sit for me tonight?
too,"(또한)  They asked a lot of questions, too."
tooth,(이)  The tooth hurts when I tap it.
top,(꼭대기)  We reached the top in first dash.
touch,(만지다)  Don't touch that penny!
town,(마을)  He is a newcomer in this town.
toy,(인형)  He looks in the toy box.
train,"(훈련,기차)  The train is due at six thirty."
travel,(여행하다)  I want to travel around the world.
tree,(나무)  The boy is climbing a tree.
trip,(여행)  How was your trip to Japan?
truck,(화물차)  The truck is racing the car.
true      ,"(참된,진짜의)  I don’t believe in true love."
try,"(노력,시도하다)  Would you like to try it on?"
tulip,튤립   Her code name was Tulip.
turn,(돌다)  Turn left at the next corner.
twice,(두번)  This is twice as long as that.
umbrella,(우산)  This is really and truly my umbrella.
uncle,(삼촌)  My uncle is a famous doctor.
under,(~아래에서)  The dog is under the desk.
understand  ,"이해하다   Okay, it sounds easy to understand."
until,(~까지)  Don't ever leave me until I die.
up,(위에)   Stand up!
use,(사용하다)  They use a lot of water.
usual,"(보통의,평소의)  He got up earlier than usual."
vacation,(휴가)  When are you leaving for your vacation?
vegetable,(야채)  I prefer a vegetable diet to meat food.
very,"(대단히,몹시)   I am very sorry."
video,(비디오)  I'm turning on the video now. Hurry up.
village,(마을)   A village has grown into a large town.
visit,(방문하다)   You can visit me whenever you want.
violin,(바이올린)   She does not like the violin.
wait,(기다리다)   Let's wait till the rain stops.
wake,(잠이깨다)  He is trying to wake up her.
walk,(걷다)   It's a nice day today. Let's walk.
wall,(벽)   The clocks are on the wall.
want,(원하다)  Students want to do many things.
war,(전쟁)  He was killed in the war.
warm,(따뜻한)  Some colors like yellow feel warm.
wash,"(씻다)  Jane, wash your hands before eating."
waste,(낭비하다)  It's just waste of time and money.
watch,(보다)   I want to watch it again.
water,(물)   I need a cup of water.
way,(길)   The lady showed the way to us.
we,"(우리)  If we chip in, we can help him."
weak,(약한)   The strong should protect the weak
wear,(옷을입다)   I don't want to wear uniforms.
weather,(날씨)   How's the weather where you are?
week,(한 주)  How many days are there in a week?
welcome,(환영하다)  Welcome back. How was the trip?
well,(잘)  Add the milk and stir well.
west,(서쪽)  China lies to the west of Korea.
wet,(젖은)  I was wet to the skin in the rain.
what,(무엇)  What is the purpose of the gift?
when,(언제)  When does the next bus arrive?
where,(어디)   ]Where did you buy this notebook?
which,(어느(것))  I can not tell which is which.
white,(하얀색)  A black hen lays white eggs.
who,(누구)  Who finished first in the race?
why,(왜)  Why do you worry so much?
wide,(넓은)  It is wide. It's a wide bed.
will,(~할것이다)  The party will be at my house.
win,(이기다)  Our team is bound to win.
wind,(바람)  A flag flaps in the wind.
window,(창문)  The woman is wiping the window.
wing,(날개)  It has strange wings for a dragonfly
winter,(겨울)  Don't you have much snow in winter?
with,(~와함께)  Do you want to eat lunch with me?
woman,(여자)  The woman is baking the bread.
wonder,(놀라다)  You are punctual for a wonder.
wood,(나무)  The table is made of wood.
word,"(낱말,말)  Don't ever say that word again."
work,(일)  I should be finishing this work.
world,(세상)  I want to travel around the world.
write,(쓰다)  Write a story in your mind's eye.
wrong,"(나쁜,잘못된)    What is wrong with the fan?"
yeah,"(예 (찬성,긍정))  Yeah, you won."
year,"(해,1년)  A new school year began today."
yellow,(노랑색)  Who is this boy in the yellow shirt?
yes,(네(대답))  Yes. I'd like a glass of water.
yesterday ,(어제)  My girlfriend and I broke up yesterday.
yet,(아직)  I have money more and yet more.
you,(당신)  Are you a doctor?  
young,(젊은)  There is a young boy in front of the door.
zero,(영(0))  I don't like this sub-zero weather.
zoo,(동물원)  The animals are in a zoo.
